"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Portio website testing","","PagingOnTheBlog","0","0","1","0","0"
"Portio website testing","","Multiple data input from file","0","0","1","0","0"
"Portio website testing","","Registration","0","0","1","0","0"
"Portio website testing","","Data saving from website into file","0","0","1","0","0"
"Portio website testing","","Log In","0","0","1","0","0"
"Portio website testing","","Data privacy statement","0","0","1","0","0"
"Portio website testing","","Data input and modifying","0","0","1","0","0"
"Portio website testing","","Log Out","0","0","1","0","0"
"Portio website testing","","Webelements saveing into file and list","0","0","1","0","0"
"Portio website testing","","Data deleting","0","0","1","0","0"
